Wave,Time after wave started,Small Zombie,Small time delta,Fat Zombie,Fat time delta,Bicycle Zombie,Bicycle time delta,Spider Zombie,Spider time delta,Lincoln Zombie,Lincoln time delta
1,1,50,1,0,0,0,0,0,0,0,0
1,20,20,0.5,0,0,0,0,0,0,0,0
1,30,30,0.5,0,3,0,0,0,0,0,0
2,5,30,0.2,0,0,0,0,0,0,0,0
3,5,40,0.1,0,0,0,0,0,0,0,0
4,5,60,0.4,0,0,0,0,0,0,0,0
4,15,60,0.4,0,0,0,0,0,0,0,0
4,22,20,0.1,0,0,0,0,0,0,0,0
4,30,20,0.1,0,0,0,0,0,0,0,0
5,5,0,0.1,1,0,0,0,0,0,0,0
6,5,45,0.1,0,0,0,0,0,0,0,0
6,10,50,0.1,2,5,0,0,0,0,0,0
7,5,50,0.1,0,0,0,0,0,0,0,0
7,15,55,0.1,2,5,0,0,0,0,0,0
8,5,55,0.1,0,0,0,0,0,0,0,0
8,15,60,0.1,0,0,0,0,0,0,0,0
9,0,60,0.1,2,10,0,0,0,0,0,0
9,15,70,0.1,2,5,0,0,0,0,0,0
10,5,80,0.2,5,5,0,0,0,0,0,0
10,15,90,0.2,0,0,0,0,0,0,0,0
10,25,100,0.2,0,0,0,0,0,0,0,0
10,25,100,0.2,0,0,0,0,0,0,0,0
